Id	Fit parameters	
	a	b
3	0.0157514	476.66
4	0.0157405	447.548
5	0.0159887	484.548
6	0.016078	462.813
7	0.0159856	485.213
8	0.0155931	483.367
9	0.0160308	474.122
10	0.0148968	501.921
11	0.0146814	482.067
12	0.0149581	486.246
13	0.0149518	488.693
14	0.0155591	493.293
15	0.0149226	495.838
16	0.0143745	490.164
17	0.0156166	477.002
18	0.0155897	486.393
19	0.0150095	473.278
20	0.0141619	473.039
21	0.0156769	463.443
22	0.0156962	459.372
23	0.0156568	468.75
24	0.0150678	458.857
25	0.0146962	479.217
26	0.0155877	485.791
27	0.016286	482.142
28	0.0173839	490.007
29	0.0149746	482.859
30	0.0159091	488.723
31	0.0152305	497.244
32	0.0144047	481.534
33	0.0171538	453.004
34	0.0153248	471.965
35	0.0152626	486.75
36	0.0163462	468.065
37	0.0149286	643.46
38	0.0156317	476.056
39	0.0159258	484.29
40	0.0155947	483.924
41	0.0160007	466.836
